"産業分類","事業所数","事　　業　　所　　面　　積　　（平方メートル）_敷地面積","事　　業　　所　　面　　積　　（平方メートル）_建築面積","事　　業　　所　　面　　積　　（平方メートル）_延べ建築面積"
"総　　数","350.0","1.6092296E7","4029095.0","5265804.0"
"09食料品製造業","68.0","559372.0","264185.0","341056.0"
"10飲料・たばこ・飼料製造業","13.0","224868.0","85160.0","109433.0"
"11繊維工業","27.0","422044.0","186603.0","252544.0"
"12木材・木製品製造業（家具を除く）","7.0","133399.0","47125.0","49223.0"
"13家具・装備品製造業","4.0","49885.0","23483.0","30873.0"
"14パルプ・紙・紙加工品製造業","6.0","158705.0","61686.0","172213.0"
"15印刷・同関連業","7.0","41827.0","10283.0","14820.0"
"16化学工業","34.0","1637690.0","335180.0","654053.0"
"17石油製品・石炭製品製造業","5.0","3346595.0","92138.0","128880.0"
"18プラスチック製品製造業（別掲を除く）","22.0","317969.0","124950.0","164407.0"
"19ゴム製品製造業","8.0","183741.0","53178.0","67885.0"
"20なめし革・同製品・毛皮製造業","1.0","χ","χ","χ"
"21窯業・土石製品製造業","6.0","160434.0","51711.0","54834.0"
"22鉄鋼業","15.0","5806335.0","1920959.0","2129152.0"
"23非鉄金属製造業","7.0","87870.0","28163.0","36288.0"
"24金属製品製造業","31.0","711992.0","183833.0","212361.0"
"25はん用機械製造業","19.0","354347.0","132590.0","199933.0"
"26生産用機械器具製造業","30.0","545742.0","189193.0","246824.0"
"27業務用機械器具製造業","7.0","770249.0","67920.0","156908.0"
"28電子部品・デバイス・電子回路製造業","5.0","86035.0","21655.0","27548.0"
"29電気機械器具製造業","13.0","149491.0","58286.0","87260.0"
"30情報通信機械器具製造業","2.0","χ","χ","χ"
"31輸送用機械器具製造業","6.0","211802.0","37770.0","48846.0"
"32その他の製造業","7.0","81044.0","36821.0","55594.0"
